Year,Date,Race,City,State,Finishers,Include,Category
2022,2022-11-06,NYC Marathon,New York,NY,47738,Yes,
2023,2023-11-05,NYC Marathon,New York,NY,51348,Yes,
2022,2022-10-30,Marine Corps Marathon,Washington,DC,11257,Yes,
2023,2023-10-29,Marine Corps Marathon,Washington,DC,13724,Yes,
2023,2023-01-15,Houston Marathon,Houston,TX,6103,Yes,
2024,2024-01-14,Houston Marathon,Houston,TX,7180,Yes,
2023,2023-04-15,Rotterdam Marathon,Rotterdam,ROT,16844,No,
2022,2022-09-23,RnR Montreal Marathon,Montreal,QC,1791,Maybe,
2023,2023-09-23,RnR Montreal Marathon,Montreal,QC,2682,Maybe,
2022,2022-10-30,Dublin Marathon,Dublin,DUB,14847,No,
2023,2023-10-29,Dublin Marathon,Dublin,DUB,16495,No,
2022,2022-10-02,Portland Marathon,Portland,OR,2315,Yes,
2023,2023-10-01,Portland Marathon,Portland,OR,2258,Yes,
2023,2023-04-23,Haspa Marathon Hamburg,Hamburg,HAM,8635,No,
2023,2023-02-25,Atlanta Marathon,Atlanta,GA,1383,Yes,
2024,2024-02-24,Atlanta Marathon,Atlanta,GA,1582,Yes,
2022,2022-10-15,Cape Town Marathon,Cape Town,CAP,9187,No,
2023,2023-10-14,Cape Town Marathon,Cape Town,CAP,13326,No,
2024,2024-05-19,MARATON DE LIMA - LIMA 42K,Lima,LIM,3062,No,
2024,2024-05-03,Rotorua Marathon,Rotorua,WAI,1151,No,
2022,2022-10-02,London Marathon,London,LON,40620,Yes,
2023,2023-04-23,London Marathon,London,LON,48780,Yes,
2024,2024-04-21,London Marathon,London,LON,53877,Yes,
2023,2023-01-04,Disney World Marathon,Orlando,FL,12693,Yes,
2024,2024-01-03,Disney World Marathon,Orlando,FL,12710,Yes,
2023,2023-04-08,Carmel Marathon,Carmel,IN,945,Yes,
2024,2024-04-13,Carmel Marathon,Carmel,IN,1451,Yes,
2023,2023-02-12,Hong Kong Marathon,Kowloon,HON,2075,Yes,
2024,2024-01-21,Hong Kong Marathon,Kowloon,HON,1991,Yes,
2022,2022-10-09,Chicago Marathon,Chicago,IL,39335,Yes,
2023,2023-10-08,Chicago Marathon,Chicago,IL,48390,Yes,
2022,2022-11-12,Athens Marathon,City Of Marathonas,ATH,12533,No,
2022,2022-10-16,Amsterdam Marathon,Amsterdam,NOO,12669,No,
2023,2023-10-15,Amsterdam Marathon,Amsterdam,NOO,16070,No,
2024,2024-08-10,Marathon Pour Tous,Paris,PAR,17319,No,
2024,2024-07-27,Jack and Jill Downhill Marathon,Snoqualmie,WA,701,Yes,Steep
2023,2023-04-23,RnR Madrid Marathon,Madrid,MAD,7405,No,
2024,2024-04-28,RnR Madrid Marathon,Madrid,MAD,9129,No,
2022,2022-12-03,Signapore Marathon,Singapore,SIN,5773,No,
2023,2023-12-02,Signapore Marathon,Singapore,SIN,6720,No,
2023,2023-05-05,Flying Pig Marathon,Cincinnati,OH,4498,Yes,
2024,2024-05-03,Flying Pig Marathon,Cincinnati,OH,4076,Yes,
2022,2022-10-02,Melbourne Marathon,Melbourne,VI,6216,No,
2023,2023-10-15,Melbourne Marathon,Melbourne,VI,7946,No,
2022,2022-09-18,Sydney Running Festival,Sydney,NSW,3452,No,
2023,2023-09-17,Sydney Running Festival,Sydney,NSW,13294,No,
2023,2023-04-17,Boston Marathon,Boston,MA,26621,Yes,Boston
2024,2024-04-15,Boston Marathon,Boston,MA,25550,Yes,Boston
2023,2023-04-23,Vienna City Marathon,Vienna,VIE,6650,No,
2024,2024-04-21,Vienna City Marathon,Vienna,VIE,7482,No,
2022,2022-09-18,Moscow Marathon,Moscow,0,11557,No,
2023,2023-09-17,Moscow Marathon,Moscow,0,12783,No,
2022,2022-12-18,Taipei Marathon,Taipei,TAI,7852,No,
2023,2023-12-17,Taipei Marathon,Taipei,TAI,8117,No,
2023,2023-05-14,Maraton de Santiago,Santiago,SAN,3188,No,
2024,2024-04-28,Maraton de Santiago,Santiago,SAN,3912,No,
2022,2022-10-01,Run in Lyon Marathon,Lyon,RHO,1910,No,
2023,2023-10-22,Run in Lyon Marathon,Lyon,RHO,2822,No,
2023,2023-05-27,Ottawa Marathon,Ottawa,ON,2413,Yes,
2024,2024-05-26,Ottawa Marathon,Ottawa,ON,4776,Yes,
2022,2022-12-11,Honolulu Marathon,Honolulu,HI,14276,Yes,
2023,2023-12-10,Honolulu Marathon,Honolulu,HI,14940,Yes,
2023,2023-05-27,Edinburgh Marathon,Edinburgh,EAS,7131,No,
2023,2023-02-12,Publix Florida Marathon,Melbourne,FL,213,Yes,
2024,2024-02-11,Publix Florida Marathon,Melbourne,FL,221,Yes,
2023,2023-06-03,RnR San Diego,San Diego,CA,4440,Yes,Minor
2024,2024-06-01,RnR San Diego,San Diego,CA,5476,Yes,Minor
2022,2022-10-16,Seven Bridges Marathon,Chattanooga,TN,314,Yes,
2023,2023-10-15,Seven Bridges Marathon,Chattanooga,TN,476,Yes,
2022,2022-11-19,Philadelphia Marathon,Philadelphia,PA,8425,Yes,
2023,2023-11-18,Philadelphia Marathon,Philadelphia,PA,11438,Yes,
2023,2023-03-11,Catalina Marathon,Avalon,CA,385,Yes,
2024,2024-03-09,Catalina Marathon,Avalon,CA,429,Yes,
2023,2023-07-01,Gold Coast Marathon,Gold Coast,QLD,5957,No,
2023,2023-08-27,Mexico City Marathon,Mexico City,MÉX,20138,No,
2023,2023-03-19,LA Marathon,Los Angeles,CA,16998,Yes,Minor
2024,2024-03-17,LA Marathon,Los Angeles,CA,20475,Yes,Minor
2023,2023-05-06,Pittsburgh Marathon,Pittsburgh,PA,3059,Yes,
2024,2024-05-04,Pittsburgh Marathon,Pittsburgh,PA,3650,Yes,
2023,2023-07-22,San Francisco Marathon,San Francisco,CA,4981,Yes,
2024,2024-07-27,San Francisco Marathon,San Francisco,CA,5772,Yes,
2023,2023-05-06,Rimi Riga Marathon,Riga,RIG,1292,No,
2024,2024-05-18,Rimi Riga Marathon,Riga,RIG,1815,No,
2023,2023-05-07,Vancouver Marathon,Vancouver,BC,4957,Yes,
2024,2024-05-05,Vancouver Marathon,Vancouver,BC,6068,Yes,
2022,2022-10-16,Toronto Waterfront Marathon,Toronto,ON,3473,Yes,
2023,2023-10-15,Toronto Waterfront Marathon,Toronto,ON,4556,Yes,
2023,2023-06-17,Grandma's Marathon,Duluth,MN,6690,Yes,
2024,2024-06-21,Grandma's Marathon,Duluth,MN,7548,Yes,
2023,2023-06-03,Stockholm Marathon,Stockholm,STO,12716,No,
2023,2023-02-25,Cowtown Marathon,Fort Worth,TX,1266,Yes,
2024,2024-02-24,Cowtown Marathon,Fort Worth,TX,1425,Yes,
2022,2022-12-03,Memphis Marathon,Memphis,TN,1767,Yes,
2023,2023-12-02,Memphis Marathon,Memphis,TN,1921,Yes,
2024,2024-03-17,Itabashi City Marathon,Itabashi,TOK,8007,No,
2022,2022-12-09,Dallas Marathon,Dallas,TX,2465,Yes,
2023,2023-12-08,Dallas Marathon,Dallas,TX,3382,Yes,
2023,2023-03-17,Shamrock Marathon,Virginia Beach,VA,1725,Yes,
2024,2024-03-16,Shamrock Marathon,Virginia Beach,VA,2054,Yes,
2023,2023-03-17,Jerusalem Marathon,"Jerusalem, Israel",JER,816,No,
2023,2023-06-11,White Nights Marathon,St. Petersburg,LEN,3520,No,
2024,2024-06-29,White Nights Marathon,St. Petersburg,LEN,5600,No,
2022,2022-11-12,Richmond Marathon,Richmond,VA,3381,Yes,
2023,2023-11-11,Richmond Marathon,Richmond,VA,4084,Yes,
2023,2023-03-19,Maratona Di Roma,Rome,ROM,546,No,
2024,2024-03-17,Maratona Di Roma,Rome,ROM,7477,No,
2023,2023-05-07,Toronto Marathon,Toronto,ON,2432,Yes,
2024,2024-05-05,Toronto Marathon,Toronto,ON,2974,Yes,
2023,2023-06-11,Comrades Marathon,Durban,KWA,14904,No,
2023,2023-02-04,Surf City Marathon,Huntington Beach,CA,1248,Yes,
2024,2024-02-03,Surf City Marathon,Huntington Beach,CA,1544,Yes,
2022,2022-12-03,RnR San Antonio,San Antonio,TX,1605,Yes,
2023,2023-12-02,RnR San Antonio,San Antonio,TX,1943,Yes,
2023,2023-04-29,Oklahoma City Marathon,Oklahoma City,OK,1801,Yes,
2024,2024-04-27,Oklahoma City Marathon,Oklahoma City,OK,1910,Yes,
2022,2022-10-30,Mainova Frankfurt Marathon,Frankfurt,HES,7942,No,
2023,2023-10-29,Mainova Frankfurt Marathon,Frankfurt,HES,9678,No,
2022,2022-10-15,Detroit Free Press Marathon,Detroit,MI,2303,Yes,
2023,2023-10-14,Detroit Free Press Marathon,Detroit,MI,3079,Yes,
2023,2023-11-18,Air New Zealand Queenstown International Marathon,Queenstown,OTA,1841,No,
2023,2023-04-02,Brighton Marathon,Brighton,SUS,8436,No,
2023,2023-05-20,Colfax Marathon,Denver,CO,1629,Yes,
2024,2024-05-17,Colfax Marathon,Denver,CO,2227,Yes,
2023,2023-05-14,Copenhagen Marathon,"Copenhagen, Denmark",COP,10164,No,
2023,2023-03-18,Zurich Marato Barcelona,Barcelona,BAR,10853,No,
2022,2022-10-09,Long Beach Marathon,Long Beach,CA,1969,Yes,
2023,2023-10-14,Long Beach Marathon,Long Beach,CA,2511,Yes,
2022,2022-10-01,Twin Cities Marathon,Minneapolis,MN,6504,Yes,
2023,2023-05-07,OC Marathon,Newport Beach,CA,2107,Yes,
2024,2024-05-05,OC Marathon,Newport Beach,CA,2916,Yes,
2022,2022-11-05,Indianapolis Monumental Marathon,Indianapolis,IN,4615,Yes,
2023,2023-10-28,Indianapolis Monumental Marathon,Indianapolis,IN,4214,Yes,
2023,2023-01-14,RnR Arizona,Phoenix,AZ,1416,Yes,
2022,2022-09-03,Marquette Marathon,Marquette,MI,283,Yes,Moderate
2023,2023-09-02,Marquette Marathon,Marquette,MI,425,Yes,Moderate
2024,2024-08-31,Marquette Marathon,Marquette,MI,423,Yes,Moderate
2022,2022-10-23,Venice Marathon,Venice,VEN,4300,No,
2023,2023-10-22,Venice Marathon,Venice,VEN,4409,No,
2023,2023-02-19,Austin Marathon,Austin,TX,3180,Yes,
2024,2024-02-18,Austin Marathon,Austin,TX,4002,Yes,
2023,2023-08-19,Reykjavikur Marathon,Reykjavik,REY,965,No,
2022,2022-10-16,Columbus Marathon,Columbus,OH,2396,Yes,
2023,2023-10-15,Columbus Marathon,Columbus,OH,3017,Yes,
2023,2023-11-05,Istanbul Marathon,Istanbul,IST,3466,No,
2022,2022-09-10,Tallinna Maraton,Tallinn,LÄÄ,1317,No,
2023,2023-09-09,Tallinna Maraton,Tallinn,LÄÄ,1700,No,
2022,2022-10-15,Baltimore Marathon,Baltimore,MD,1536,Yes,
2023,2023-10-14,Baltimore Marathon,Baltimore,MD,1503,Yes,
2022,2022-10-23,Nairobi Marathon,Nairobi,CEN,696,No,
2024,2024-02-18,Zurich Maraton Sevilla,Sevilla,SEV,9407,No,
2023,2023-09-30,Kosice peace Marathon,Košice,VYC,4038,No,
2022,2022-09-18,Maraton de Buenos Aires,Buenos Aires,BUE,7573,No,
2023,2023-09-24,Maraton de Buenos Aires,Buenos Aires,BUE,9510,No,
2023,2023-04-02,Milano City Marathon,Milan,MIL,4635,No,
2024,2024-04-07,Milano City Marathon,Milan,MIL,5529,No,
2023,2023-04-23,Zurich Marathon,Zurich,ZUR,2800,No,
2022,2022-10-15,Kansas City Marathon,Kansas City,MO,1002,Yes,
2023,2023-10-21,Kansas City Marathon,Kansas City,MO,1232,Yes,
2022,2022-10-29,Auckland Marathon,Auckland,AUC,1300,No,
2023,2023-05-01,MiWay Wally Hayward Marathon,Pretoria,GAU,2765,No,
2023,2023-04-22,RnR Nashville,Nashville,TN,2330,Yes,
2024,2024-04-24,RnR Nashville,Nashville,TN,2803,Yes,
2023,2023-11-26,Mount Fuji Marathon,Fujikawachiko,YAM,4852,No,
2022,2022-09-17,Oslo Maraton,Oslo,OSL,1816,No,
2023,2023-05-14,Rob Burrow Leeds Marathon,Leeds,WYOR,8384,No,
2024,2024-05-12,Rob Burrow Leeds Marathon,Leeds,WYOR,4473,No,
2023,2023-05-15,Fargo Marathon,Fargo,ND,995,Yes,
2024,2024-05-28,Fargo Marathon,Fargo,ND,1481,Yes,
2022,2022-12-04,California International Marathon,Sacramento,CA,7986,Yes,Minor
2023,2023-12-03,California International Marathon,Sacramento,CA,9183,Yes,Minor
2023,2023-06-03,Maratona Internacional de Porto Alegre,Porto Alegre,RIO,4087,No,
2023,2023-03-25,Freiburg Marathon,Freiburg,BAD,929,No,
2022,2022-09-25,Marathon Touraine Loire Valley,TOURS,IND,908,No,
2023,2023-09-24,Marathon Touraine Loire Valley,TOURS,IND,1122,No,
2023,2023-05-14,Leiden Marathon,Leiden,ZUI,758,No,
2024,2024-05-12,Leiden Marathon,Leiden,ZUI,1432,No,
2023,2023-02-12,Standard Chartered Dubai Marathon,Dubai,ABU,1446,No,
2024,2024-01-07,Standard Chartered Dubai Marathon,Dubai,ABU,1477,No,
2023,2023-05-20,Great Ocean Road Running Festival,Lorne,VI,1225,No,
2024,2024-05-18,Great Ocean Road Running Festival,Lorne,VI,1614,No,
2023,2023-05-28,Calgary Marathon,Calgary,AB,1007,No,
2024,2024-05-26,Calgary Marathon,Calgary,AB,1556,No,
2022,2022-09-10,Marathon du Medoc,Medoc,COT,7275,No,
2022,2022-09-11,Danske Bank Vilnius Marathon,Vilnius,VL,659,No,
2024,2024-04-25,Illinois Marathon,Champaign,IL,735,Yes,
2023,2023-04-29,Kentucky Derby Festival Marathon,Louisville,KY,1073,Yes,
2024,2024-04-27,Kentucky Derby Festival Marathon,Louisville,KY,1248,Yes,
2023,2023-04-30,Great Limerick Run,Limerick,LIM,806,No,
2024,2024-05-04,Great Limerick Run,Limerick,LIM,1161,No,
2023,2023-11-26,RnR Manila,Manila,CEN,1198,No,
2022,2022-12-17,ADNOC Abu Dhabi Marathon,Abu Dahbi,ABU,1215,No,
2023,2023-12-16,ADNOC Abu Dhabi Marathon,Abu Dahbi,ABU,1705,No,
2023,2023-06-02,Brisbane Twighlight Running Festival,Brisbane,QLD,904,No,
2024,2024-06-02,Brisbane Twighlight Running Festival,Brisbane,QLD,1440,No,
2022,2022-10-23,Omv Linz Marathon,Linz,UPP,642,No,
2024,2024-04-21,Enschede Marathon,Enschede,OVE,1556,No,
2022,2022-10-22,Ljubljanski Maraton,Ljubljana,LCEN,1213,No,
2023,2023-03-12,Twincity Marathon,Cyberjaya,SEL,665,No,
2024,2024-04-06,Bratislava Marathon,Bratislava,BRA,1102,No,
2022,2022-10-08,Hartford Marathon,Hartford,CT,1174,Yes,
2023,2023-10-14,Hartford Marathon,Hartford,CT,1495,Yes,
2023,2023-05-20,Cleveland Marathon,Cleveland,OH,1241,Yes,
2024,2024-05-18,Cleveland Marathon,Cleveland,OH,1591,Yes,
2023,2023-04-30,Big Sur International Marathon,Carmel,CA,3635,Yes,Minor
2024,2024-04-28,Big Sur International Marathon,Carmel,CA,3433,Yes,Minor
2023,2023-02-04,Phoenix Marathon,Mesa,AZ,1924,Yes,Moderate
2024,2024-02-10,Phoenix Marathon,Mesa,AZ,2674,Yes,Moderate
2022,2022-10-09,GoodLife Fitness Royal Victoria Marathon,"Victoria, B.C",BC,1189,Yes,
2023,2023-10-08,GoodLife Fitness Royal Victoria Marathon,"Victoria, B.C",BC,1454,Yes,
2023,2023-11-19,Radisson Blue Larnaka International Marathon,Larnaka,LAR,395,No,
2023,2023-02-11,Mercedes Marathon,Birmingham,AL,522,No,
2023,2023-06-18,Manitoba Marathon,Winnpeg,MB,593,Yes,
2024,2024-06-16,Manitoba Marathon,Winnpeg,MB,840,Yes,
2023,2023-05-25,Bayshore Marathon,Traverse City,MI,1366,Yes,
2024,2024-05-23,Bayshore Marathon,Traverse City,MI,1308,Yes,
2024,2024-04-07,Canberra Times Marathon Festival,Canberra,ACT,2160,No,
2024,2024-05-04,Harmony Geneva Marathon,Geneva,GEN,2744,No,
2023,2023-05-07,Prague Marathon,Prague,PRA,5468,No,
2023,2023-02-03,Dead Sea Marathon,Ean Kadi,CEN,350,No,
2024,2024-02-02,Dead Sea Marathon,Ean Kadi,CEN,449,No,
2022,2022-11-27,Firenze Marathon,Florence,0,6257,No,
2023,2023-11-26,Firenze Marathon,Florence,0,6880,No,
2023,2023-11-19,Verona Marathon,Verona,VER,268,No,
2023,2023-09-17,Fiducia Baden-Marathon,Karlsruhe,BAD,610,No,
2024,2024-01-28,Johnson Crane Hire Marathon,Senderwood,WES,3201,No,
2022,2022-09-16,Air Force Marathon,Dayton,OH,890,Yes,
2023,2023-09-14,Air Force Marathon,Dayton,OH,1070,Yes,
2023,2023-03-19,Oakland Marathon Running Festival,Oakland,CA,470,Yes,
2024,2024-03-17,Oakland Marathon Running Festival,Oakland,CA,660,Yes,
2023,2023-04-16,Australian Running Festival,Canberra,ACT,1353,No,
2022,2022-11-19,"Route 66 Marathon & Half Marathon, Marathon Relay",Tulsa,OK,890,Yes,
2023,2023-11-18,"Route 66 Marathon & Half Marathon, Marathon Relay",Tulsa,OK,976,Yes,
2022,2022-10-30,Marathon de Alpes,Nice,ALP,4443,No,
2023,2023-09-16,Wachau Halbmarathon,Krems An Der Donau,LOW,400,No,
2023,2023-06-04,Course des Pompiers de Laval,Laval,QC,223,Yes,
2023,2023-03-04,Little Rock Marathon,Little Rock,AR,989,Yes,
2024,2024-03-02,Little Rock Marathon,Little Rock,AR,1147,Yes,
2023,2023-08-26,Maybank Bali Marathon,Gianyar,BAL,2354,No,
2023,2023-02-26,Kilimanjaro Marathon,Moshi,KIL,734,No,
2023,2023-04-22,Belgrade Marathon,Belgrade,VOJ,883,No,
2023,2023-04-01,St. Louis Marathon,St Louis,MO,1082,Yes,
2024,2024-04-27,St. Louis Marathon,St Louis,MO,1253,Yes,
2022,2022-11-12,Charlotte's Thunder Road Marathon,Charlotte,NC,1120,Yes,
2023,2023-11-04,Charlotte's Thunder Road Marathon,Charlotte,NC,1486,Yes,
2022,2022-12-10,Kiawah Island Marathon,Kiawah Island,SC,1276,Yes,
2023,2023-12-08,Kiawah Island Marathon,Kiawah Island,SC,1361,Yes,
2023,2023-04-02,ABP Southampton Half Marathon,Southampton,HAM,711,No,
2024,2024-04-07,ABP Southampton Half Marathon,Southampton,HAM,873,No,
2023,2023-05-28,Buffalo Marathon,Buffalo,NY,1068,Yes,
2024,2024-05-25,Buffalo Marathon,Buffalo,NY,1193,Yes,
2023,2023-09-09,GoFundMe Richmond RUN-FEST,Richmond,LON,1136,Yes,
2022,2022-10-01,St. George Marathon,Saint George,UT,3481,Yes,Steep
2023,2023-10-06,St. George Marathon,Saint George,UT,3905,Yes,Steep
2022,2022-12-11,Maraton Powerade Monterrey,Monterrey,EST,4639,No,
2022,2022-11-06,City of Oaks Marathon,Raleigh,NC,565,Yes,
2023,2023-11-05,City of Oaks Marathon,Raleigh,NC,670,Yes,
2022,2022-10-16,Des Moines Marathon,Des Moines,IA,1095,Yes,
2023,2023-10-15,Des Moines Marathon,Des Moines,IA,1450,Yes,
2023,2023-05-07,Lincoln Marathon,Lincoln,NE,803,Yes,
2024,2024-05-05,Lincoln Marathon,Lincoln,NE,804,Yes,
