Year,Date,Race,City,State,Finishers,Include,Category
2023,2023-09-30,Colorado Springs Marathon,Colorado Springs,CO,337,Yes,
2022,2022-10-01,Suffolk County Marathon,Babylon,NY,252,Yes,
2023,2023-10-01,Suffolk County Marathon,Babylon,NY,299,Yes,
2022,2022-10-08,Schwarzwald Marathon,Bräunlingen,BAD,232,No,
2023,2023-03-03,Coast Guard Marathon,Elizabeth City,NC,311,Yes,
2024,2024-04-05,Coast Guard Marathon,Elizabeth City,NC,478,Yes,
2023,2023-06-03,Deadwood Mickelson Trail Marathon,Deadwood,SD,206,Yes,Moderate
2024,2024-06-01,Deadwood Mickelson Trail Marathon,Deadwood,SD,216,Yes,Moderate
2023,2023-07-04,Foot Traffic Flat Marathon,Portland,OR,259,Yes,
2024,2024-07-04,Foot Traffic Flat Marathon,Portland,OR,282,Yes,
2023,2023-04-22,Delaware Marathon,Wilmington,DE,462,Yes,
2024,2024-04-21,Delaware Marathon,Wilmington,DE,464,Yes,
2023,2023-05-07,Avenue Of The Giants Marathon,Weott,CA,383,Yes,
2024,2024-05-05,Avenue Of The Giants Marathon,Weott,CA,467,Yes,
2022,2022-11-05,Salina Crossroads Marathon,Salina,KS,127,Yes,
2023,2023-11-04,Salina Crossroads Marathon,Salina,KS,351,Yes,
2022,2022-11-13,Manchester City Marathon,Manchester,NH,440,Yes,
2023,2023-11-12,Manchester City Marathon,Manchester,NH,452,Yes,
2023,2023-01-08,Cadbury Marathon Festival,Hobart,TAS,232,No,
2023,2023-05-28,Jacobs Creek Barossa Marathon,Barossa Valley,SA,277,No,
2022,2022-10-16,Baystate Marathon,Lowell,MA,913,Yes,
2023,2023-10-15,Baystate Marathon,Lowell,MA,975,Yes,
2023,2023-03-18,Asheville Marathon,Asheville,NC,601,Yes,Minor
2024,2024-03-16,Asheville Marathon,Asheville,NC,570,Yes,Minor
2023,2023-03-03,Chattanooga Marathon,Chattanoga,TN,213,Yes,
2024,2024-03-02,Chattanooga Marathon,Chattanoga,TN,262,Yes,
2022,2022-10-09,Prairie Fire Wichita Marathon,Wichita,KS,226,Yes,
2023,2023-10-08,Prairie Fire Wichita Marathon,Wichita,KS,286,Yes,
2023,2023-03-04,Newport News One City Marathon,Newport News,VA,373,Yes,
2024,2024-03-02,Newport News One City Marathon,Newport News,VA,495,Yes,
2023,2023-06-04,North Olympic Discovery Marathon,Port Angeles,WA,272,Yes,
2024,2024-06-01,North Olympic Discovery Marathon,Port Angeles,WA,298,Yes,
2023,2023-08-26,Mt. Nebo Marathon and Half Marathon,Payson,UT,210,Yes,Very Steep
2024,2024-09-07,Mt. Nebo Marathon and Half Marathon,Payson,UT,291,Yes,Very Steep
2024,2024-05-11,Beer Lover's Marathon,Liège,LIÈ,1369,No,
2022,2022-12-10,Tucson Marathon,Tucson,AZ,564,Yes,Steep
2023,2023-12-10,Tucson Marathon,Tucson,AZ,839,Yes,Steep
2023,2023-04-23,Maui Marathon,Lahaina,HI,319,Yes,
2022,2022-10-28,Spinx Runfest Marathon,Greenville,SC,199,Yes,
2023,2023-10-27,Spinx Runfest Marathon,Greenville,SC,304,Yes,
2023,2023-03-18,Des Moines St. Paddy's Marathon,Des Moines,IA,132,Yes,
2024,2024-03-16,Des Moines St. Paddy's Marathon,Des Moines,IA,202,Yes,
2022,2022-10-15,WhistleStop Marathon,Ashland,WI,222,Yes,Minor
2023,2023-10-14,WhistleStop Marathon,Ashland,WI,382,Yes,Minor
2023,2023-08-27,Sioux Falls Marathon,Sioux Falls,SD,366,Yes,
2024,2024-02-04,Gammon China Coast Half and Full Marathon,Hong Kong,NEW,301,No,
2024,2024-04-06,Mall of the North Marathon,Polokwane,GAU,515,No,
2023,2023-05-20,Capital City Marathon,Olympia,WA,248,Yes,
2024,2024-05-18,Capital City Marathon,Olympia,WA,296,Yes,
2023,2023-02-19,MARATONA  DI SAN VALENTINO,Terni,TER,390,No,
2024,2024-02-18,MARATONA  DI SAN VALENTINO,Terni,TER,469,No,
2023,2023-01-28,Big Beach Marathon,Gulf Shores,AL,382,Yes,
2024,2024-01-27,Big Beach Marathon,Gulf Shores,AL,413,Yes,
2022,2022-11-06,Marshall University Marathon,Huntington,WV,216,Yes,
2023,2023-11-05,Marshall University Marathon,Huntington,WV,330,Yes,
2022,2022-10-16,Mount Desert Island Marathon,Bar Harbor,ME,613,Yes,
2023,2023-10-15,Mount Desert Island Marathon,Bar Harbor,ME,650,Yes,
2023,2023-05-20,Martha's Vineyard Marathon,Oaks Bluff,MA,509,Yes,
2022,2022-09-17,Hamptons Marathon,East Hampton,NY,179,Yes,
2023,2023-09-23,Hamptons Marathon,East Hampton,NY,257,Yes,
2024,2024-06-22,Marathon du Vignoble d'Alsace,Molsheim,BAS,803,No,
2023,2023-02-05,Maratonina Maga Circe,Sabaudia,LAT,355,No,
2024,2024-02-04,Maratonina Maga Circe,Sabaudia,LAT,509,No,
2024,2024-04-07,Bakersfield Marathon,Bakersfield,CA,205,Yes,
2023,2023-05-07,Chicagoland Marathon,Chicago,IL,452,Yes,
2024,2024-05-05,Chicagoland Marathon,Chicago,IL,500,Yes,
2024,2024-05-05,Hudson Valley Marathon,Hudson Valley,NY,306,Yes,
2023,2023-06-17,Leadville Trail Marathon,Leadville,CO,771,Yes,
2024,2024-06-29,Leadville Trail Marathon,Leadville,CO,664,Yes,
2022,2022-10-30,Marathon Brabant,Etten-leur,NOO,228,No,
2023,2023-10-29,Marathon Brabant,Etten-leur,NOO,321,No,
2023,2023-08-19,Anchorage RunFest,Anchorage,AK,221,Yes,
2024,2024-08-17,Anchorage RunFest,Anchorage,AK,228,Yes,
2023,2023-01-15,Maui Oceanfront Marathon,Lahaina,HI,282,Yes,
2024,2024-01-14,Maui Oceanfront Marathon,Lahaina,HI,170,Yes,
2023,2023-04-29,Tacoma City Marathon,Tacoma,WA,365,Yes,
2024,2024-04-27,Tacoma City Marathon,Tacoma,WA,393,Yes,
2022,2022-10-14,Ecomaratona del Chianti,Castelnuovo Berardenga,SIE,208,No,
2023,2023-10-15,Ecomaratona del Chianti,Castelnuovo Berardenga,SIE,204,No,
2023,2023-01-23,Funchal Marathon,Funchal,MAD,257,No,
2023,2023-06-04,Steamboat Marathon,Steamboat Springs,CO,239,Yes,Moderate
2024,2024-06-02,Steamboat Marathon,Steamboat Springs,CO,262,Yes,Moderate
2022,2022-10-09,Mohawk-Hudson River Marathon,Albany,NY,419,Yes,Minor
2023,2023-10-08,Mohawk-Hudson River Marathon,Albany,NY,438,Yes,Minor
2023,2023-05-06,Wisconsin Marathon,Kenosha,WI,304,Yes,
2024,2024-05-04,Wisconsin Marathon,Kenosha,WI,254,Yes,
2022,2022-11-12,Chickamauga Battlefield Marathon,Fort Oglethorpe,GA,270,Yes,
2023,2023-11-11,Chickamauga Battlefield Marathon,Fort Oglethorpe,GA,352,Yes,
2024,2024-05-05,Gateshead Half Marathon & 10k,Gateshead,TYN,542,No,
2022,2022-10-16,Columbia Gorge Marathon,Hood River,OR,154,Yes,
2023,2023-10-22,Columbia Gorge Marathon,Hood River,OR,235,Yes,
2022,2022-11-27,Spark Marathon Spijkenisse,Spijkenisse,ZUI,222,No,
2023,2023-11-26,Spark Marathon Spijkenisse,Spijkenisse,ZUI,272,No,
2023,2023-05-19,EcoRun,Moieciu De Sus,BRA,290,No,
2023,2023-04-22,Boise River Marathon,Boise,ID,111,Yes,
2024,2024-05-04,Boise River Marathon,Boise,ID,215,Yes,
2022,2022-11-12,Outer Banks Marathon Weekend,Kill Devil Hills,NC,215,Yes,
2023,2023-11-11,Outer Banks Marathon Weekend,Kill Devil Hills,NC,326,Yes,
2022,2022-11-06,Louisville Marathon,Louisville,KY,197,Yes,
2023,2023-11-05,Louisville Marathon,Louisville,KY,286,Yes,
2023,2023-10-15,Chelmsford Marathon,Chelmsford,ESS,403,No,
2023,2023-05-12,Med-City Marathon,Rochester,MN,230,Yes,Minor
2024,2024-05-18,Med-City Marathon,Rochester,MN,301,Yes,Minor
2023,2023-08-26,Stavanger Marathon,Stavanger,ROG,231,No,
2023,2023-04-30,Gettysburg North-South Marathon,Gettysburg,PA,155,Yes,
2024,2024-04-28,Gettysburg North-South Marathon,Gettysburg,PA,203,Yes,
2023,2023-05-14,Sugarloaf Marathon,Kingfield,ME,504,Yes,Minor
2024,2024-05-12,Sugarloaf Marathon,Kingfield,ME,533,Yes,Minor
2023,2023-02-25,Infantry School Cango Caves Marathon,"Cango Caves, Oudtshoorn",WES,833,No,
2024,2024-02-24,Infantry School Cango Caves Marathon,"Cango Caves, Oudtshoorn",WES,788,No,
2023,2023-05-21,Windermere Marathon,Spokane Valley,WA,205,Yes,Minor
2024,2024-05-19,Windermere Marathon,Spokane Valley,WA,142,Yes,Minor
2023,2023-04-15,Hogeye Marathon,Fayetteville,AR,210,Yes,
2024,2024-04-09,Hogeye Marathon,Fayetteville,AR,295,Yes,
2023,2023-02-11,Hilton Head Marathon,Hilton Head Island,SC,277,Yes,
2024,2024-02-10,Hilton Head Marathon,Hilton Head Island,SC,368,Yes,
2022,2022-12-03,Panama City Beach Marathon,Panama City Beach,FL,270,Yes,
2023,2023-12-02,Panama City Beach Marathon,Panama City Beach,FL,264,Yes,
2022,2022-10-09,Steamtown Marathon,Scranton,PA,872,Yes,Moderate
2023,2023-10-08,Steamtown Marathon,Scranton,PA,871,Yes,Moderate
2022,2022-11-27,Maraton Internacional de Panama,Panama,PAN,279,No,
2023,2023-11-26,Maraton Internacional de Panama,Panama,PAN,234,No,
2023,2023-04-23,Whidbey Island Marathon,Oak Harbor,WA,193,Yes,
2024,2024-04-21,Whidbey Island Marathon,Oak Harbor,WA,218,Yes,
2023,2023-06-17,Charlevoix Marathon,Charlevoix,MI,416,Yes,
2024,2024-06-15,Charlevoix Marathon,Charlevoix,MI,501,Yes,
2023,2023-02-05,Tallahassee Marathon,Tallahassee,FL,173,Yes,
2024,2024-02-11,Tallahassee Marathon,Tallahassee,FL,220,Yes,
2023,2023-11-05,Yukon Boundary Bay Race,Delta,BC,216,Yes,
2023,2023-04-27,Sedibeng Marathon,Vereeniging,GAU,674,No,
2022,2022-09-11,Holland Haven Marathon,Holland,MI,281,Yes,
2023,2023-09-10,Holland Haven Marathon,Holland,MI,297,Yes,
2024,2024-09-08,Holland Haven Marathon,Holland,MI,360,Yes,
2022,2022-10-23,Ocean State Rhode Races,Narragansett,RI,227,Yes,
2023,2023-10-29,Ocean State Rhode Races,Narragansett,RI,286,Yes,
2023,2023-03-10,Six Foot Track Marathon,Sydney,NSW,902,No,
2023,2023-04-01,Salisbury Marathon,Salisbury,MD,253,Yes,
2024,2024-04-06,Salisbury Marathon,Salisbury,MD,270,Yes,
2023,2023-10-22,Run Through Battersea Park,London,LON,385,No,
2022,2022-09-11,Georgina Marathon,Jacksons Point,ON,199,Yes,
2023,2023-09-10,Georgina Marathon,Jacksons Point,ON,249,Yes,
2024,2024-09-08,Georgina Marathon,Jacksons Point,ON,336,Yes,
2022,2022-09-11,Erie Marathon,Erie,PA,756,Yes,
2023,2023-09-10,Erie Marathon,Erie,PA,945,Yes,
2024,2024-09-08,Erie Marathon,Erie,PA,1022,Yes,
2022,2022-10-09,Perth Marathon,Burswood,WA,701,Yes,
2023,2023-10-08,Perth Marathon,Burswood,WA,1455,Yes,
2023,2023-03-26,B&A Trail Marathon,Severna Park,MD,250,Yes,
2024,2024-03-24,B&A Trail Marathon,Severna Park,MD,286,Yes,
2023,2023-06-17,Super Marathon,Snoqualmie Pass,WA,301,Yes,Steep
2024,2024-06-22,Super Marathon,Snoqualmie Pass,WA,384,Yes,Steep
2023,2023-04-29,Jim Thorpe Area Running Festival,Jim Thorpe,PA,400,Yes,Minor
2024,2024-04-27,Jim Thorpe Area Running Festival,Jim Thorpe,PA,533,Yes,Minor
2023,2023-07-09,Mad Marathon,Waitsfield,VT,259,Yes,
2024,2024-07-07,Mad Marathon,Waitsfield,VT,267,Yes,
2023,2023-06-11,Lake Placid Marathon,Lake Placid,NY,265,Yes,
2024,2024-06-09,Lake Placid Marathon,Lake Placid,NY,322,Yes,
2023,2023-03-04,Albany Marathon,Albany,GA,290,Yes,
2024,2024-03-02,Albany Marathon,Albany,GA,258,Yes,
2022,2022-10-08,Vantaan Maraton,Tikkurila,ETE,332,No,
2023,2023-01-07,The Buckeye Marathon,Buckeye,AZ,113,Yes,Minor
2024,2024-01-06,The Buckeye Marathon,Buckeye,AZ,207,Yes,Minor
2023,2023-01-15,Jekyll Island Marathon,Jekyll Island,GA,286,Yes,
2024,2024-01-14,Jekyll Island Marathon,Jekyll Island,GA,250,Yes,
2022,2022-11-13,Harrisburg Marathon,Harrisburg,PA,516,Yes,
2023,2023-11-12,Harrisburg Marathon,Harrisburg,PA,464,Yes,
2022,2022-09-17,Equinox Marathon,Fairbanks,AK,344,Yes,
2023,2023-09-16,Equinox Marathon,Fairbanks,AK,379,Yes,
2023,2023-04-16,The Cheap Marathon,Salisbury,MA,411,Yes,
2024,2024-04-20,The Cheap Marathon,Salisbury,MA,394,Yes,
2023,2023-04-16,Athens Marathon (Ohio),Athens,OH,171,Yes,
2024,2024-04-14,Athens Marathon (Ohio),Athens,OH,208,Yes,
2022,2022-09-25,Clarence Demar Marathon,Keene,NH,229,Yes,Minor
2023,2023-09-24,Clarence Demar Marathon,Keene,NH,318,Yes,Minor
2022,2022-10-16,Chelmsford Parks Marathon,Chelmsford,ESS,450,No,
2022,2022-10-02,Clarendon Marathon,Salisbury To Winchester,HAM,304,No,
2023,2023-10-01,Clarendon Marathon,Salisbury To Winchester,HAM,370,No,
2023,2023-06-11,The Light At The End of the Tunnel,North Bend,WA,757,Yes,Steep
2024,2024-06-09,The Light At The End of the Tunnel,North Bend,WA,852,Yes,Steep
2022,2022-11-13,Fort Worth Marathon,Fort Worth,TX,209,Yes,
2023,2023-11-12,Fort Worth Marathon,Fort Worth,TX,179,Yes,
2023,2023-04-16,Tough Ruck Marathon,Concord,MA,721,Yes,
2024,2024-04-14,Tough Ruck Marathon,Concord,MA,883,Yes,
2022,2022-10-02,Jersey Marathon,Jersey,0,255,No,
2022,2022-11-26,North Central Trail Marathon,Sparks,MD,260,Yes,
2023,2023-11-25,North Central Trail Marathon,Sparks,MD,278,Yes,
2022,2022-09-09,Moose Mountain Marathon,Lutsen,MN,294,Yes,
2023,2023-09-08,Moose Mountain Marathon,Lutsen,MN,307,Yes,
2024,2024-09-06,Moose Mountain Marathon,Lutsen,MN,312,Yes,
2023,2023-05-06,Breakneck Point Marathon,Beacon,NY,258,Yes,
2024,2024-05-05,Breakneck Point Marathon,Beacon,NY,197,Yes,
2023,2023-05-07,York Marathon,York,PA,216,Yes,
2024,2024-05-05,York Marathon,York,PA,199,Yes,
2023,2023-05-13,New River Marathon,Todd,NC,164,Yes,
2024,2024-05-17,New River Marathon,Todd,NC,289,Yes,
2022,2022-09-18,Tunnel Lite Marathon,North Bend,WA,320,Yes,Steep
2023,2023-09-10,Tunnel Lite Marathon,North Bend,WA,666,Yes,Steep
2024,2024-09-08,Tunnel Lite Marathon,North Bend,WA,830,Yes,Steep
2022,2022-10-15,Des Plaines River Trail Race,Des Plaines,IL,216,Yes,
2023,2023-10-14,Des Plaines River Trail Race,Des Plaines,IL,205,Yes,
2022,2022-09-24,Jackson Hole Marathon,Jackson Hole,WY,184,Yes,
2023,2023-09-23,Jackson Hole Marathon,Jackson Hole,WY,233,Yes,
2022,2022-10-23,Loco Marathon,Newmarket,NH,215,Yes,
2023,2023-10-22,Loco Marathon,Newmarket,NH,214,Yes,
2022,2022-09-18,In Flanders Fields Marathon,Ieper,0,205,No,
2023,2023-02-25,Skidaway Island Marathon,Savannah,GA,139,Yes,
2024,2024-02-24,Skidaway Island Marathon,Savannah,GA,200,Yes,
2023,2023-08-13,Tunnel Vision Marathon,North Bend,WA,510,Yes,Steep
2024,2024-08-11,Tunnel Vision Marathon,North Bend,WA,680,Yes,Steep
2023,2023-06-11,Maritime Marathon,Manitowoc,WI,185,Yes,
2024,2024-06-02,Maritime Marathon,Manitowoc,WI,239,Yes,
2022,2022-09-11,Cascade Express Marathon,snoqualmie pass,WA,229,Yes,Steep
2023,2023-09-16,Cascade Express Marathon,snoqualmie pass,WA,201,Yes,Steep
2023,2023-08-27,Green River Marathon,Colrain,MA,340,Yes,
2024,2024-08-25,Green River Marathon,Colrain,MA,325,Yes,
2023,2023-02-25,Black Mountain Marathon,Black Mountain,NC,171,Yes,
2024,2024-02-24,Black Mountain Marathon,Black Mountain,NC,257,Yes,
2022,2022-11-20,Flying Monkey Marathon,Nashville,TN,257,Yes,
2023,2023-11-19,Flying Monkey Marathon,Nashville,TN,245,Yes,
2023,2023-08-24,The Sri Chinmoy Marathon,Congers,NY,286,Yes,
2024,2024-08-23,The Sri Chinmoy Marathon,Congers,NY,368,Yes,
2023,2023-05-06,Lake Wobegon Trail Marathon,Saint Joseph,MN,209,Yes,
2024,2024-05-04,Lake Wobegon Trail Marathon,Saint Joseph,MN,329,Yes,
2022,2022-11-26,Ghost of Seattle Marathon,Seattle,WA,57,Yes,
2023,2023-11-25,Ghost of Seattle Marathon,Seattle,WA,48,Yes,
2022,2022-09-10,Last Chance BQ Chicagoland Marathon,Geneva,IL,254,Yes,
2023,2023-09-09,Last Chance BQ Chicagoland Marathon,Geneva,IL,256,Yes,
2024,2024-09-07,Last Chance BQ Chicagoland Marathon,Geneva,IL,240,Yes,
2022,2022-09-11,Beantown Marathon,Hingham,MA,203,Yes,
2023,2023-09-10,Beantown Marathon,Hingham,MA,238,Yes,
2022,2022-10-15,Blue Sky Marathon,fort collins,CO,201,Yes,
2023,2023-10-21,Blue Sky Marathon,fort collins,CO,222,Yes,
2023,2023-04-15,Spring Chance BQ2 Marathon,Geneva,IL,196,Yes,
2024,2024-04-14,Spring Chance BQ2 Marathon,Geneva,IL,168,Yes,
2022,2022-09-10,Last Chance BQ Grand Rapids,Grand Rapids,MI,52,Yes,
2023,2023-09-10,Last Chance BQ Grand Rapids,Grand Rapids,MI,111,Yes,
2024,2024-09-08,Last Chance BQ Grand Rapids,Grand Rapids,MI,181,Yes,
2023,2023-03-25,NMC Fast Race 3-in-1,Mbombela,MPU,534,No,
2023,2023-09-03,Sackets Harbor Marathon,Sackets Harbor,NY,216,Yes,
2024,2024-09-01,Sackets Harbor Marathon,Sackets Harbor,NY,250,Yes,
2023,2023-11-05,Torino City Marathon,"Torino ,turin",TOR,1319,No,
2023,2023-12-03,South Texas International Marathon,Harlingen,TX,206,Yes,
2023,2023-12-03,DFM,Davao City,DAV,231,No,
2024,2024-03-24,Johannesburg City Marathon,Johannesburg,GAU,927,No,
2024,2024-04-28,The Norfolk Marathon,Cromer,NFK,946,No,
2023,2023-07-29,Jack and Jill Downhill Marathon,North Bend,WA,764,Yes,Steep
2023,2023-10-28,Ocean City Running Festival,Ocean City,MD,243,Yes,
2024,2024-01-28,Classic City Marathon,Athens,GA,293,Yes,
2024,2024-06-01,Jack & Jill Marathon Poconos,White Haven,PA,255,Yes,Minor
2023,2023-09-24,Berlin Marathon,Berlin,DEU,43045,Yes,
2022,2022-09-25,Berlin Marathon,Berliin,DEU,34745,Yes,
